# Rime user dictionary
#@/db_name	luna_pinyin.userdb
#@/db_type	userdb
#@/rime_version	1.3.1
#@/tick	898
#@/user_id	rime
a 	啊	c=4 d=1.87117 t=898
a li 	阿里	c=1 d=1 t=609
a suo 	阿索	c=1 d=0.737123 t=898
ai rong chong 	埃榮衝	c=1 d=1 t=880
an xin 	安心	c=1 d=0.802519 t=898
ba 	把	c=1 d=0.806541 t=898
ba bie ta 	巴別塔	c=2 d=1.97531 t=491
bai ming dan 	白名單	c=3 d=2.98012 t=898
ban gong 	辦公	c=2 d=0.690734 t=898
bao 	包	c=1 d=0.66365 t=898
bao gao 	報告	c=2 d=1.92312 t=453
bei 	被	c=1 d=0.382893 t=898
bei fen 	備份	c=2 d=1.99501 t=876
bei jing 	北京	c=6 d=2.33728 t=898
bei jing lian tong 	北京聯通	c=1 d=0.491644 t=898
bei nin lao ren jia 	被您老人家	c=1 d=1 t=543
bei zhu 	備註	c=1 d=1 t=894
bi dao 	筆刀	c=1 d=1 t=506
bi jiao 	比較	c=1 d=1 t=886
bian ji 	編輯	c=2 d=1.99005 t=740
bian liang ming 	變量名	c=1 d=0.831104 t=898
bian xing 	變形	c=1 d=0.404542 t=898
biao ge 	表格	c=1 d=1 t=890
bie zhao ji 	別着急	c=1 d=0.782705 t=898
bin zhi 	濱智	c=1 d=1 t=888
bing 	並	c=0 d=0.1 t=814
bing jin xing 	並進行	c=1 d=1 t=815
bing xing 	並行	c=1 d=0.995012 t=898
bo fang qi 	播放器	c=2 d=1.84163 t=898
bu xiang 	不想	c=1 d=0.932683 t=898
bu xiang liao le 	不想撂了	c=1 d=0.852144 t=898
bu yi zhi 	不一致	c=1 d=0.83527 t=898
bu zhi chi 	不支持	c=1 d=0.621885 t=898
cai 	蔡	c=1 d=1 t=433
cai zheng 	財政	c=2 d=1.99501 t=537
can 	燦	c=1 d=0.965605 t=898
che 	車	c=1 d=1 t=415
che hao jia 	車昊珈	c=1 d=0.985112 t=898
che pai 	車牌	c=2 d=0.912251 t=898
cheng du 	程度	c=3 d=1.31667 t=898
chi xu 	持續	c=1 d=1 t=466
chong qing 	重慶	c=1 d=1 t=709
chong wen 	重溫	c=2 d=1.12882 t=898
chong zhi 	充值	c=1 d=1 t=869
chong zhi 	重置	c=1 d=1 t=870
chu 	出	c=1 d=1 t=457
chu 	處	c=0 d=0.0965605 t=898
chu bu 	初步	c=2 d=0.937067 t=898
chuan tong 	傳統	c=1 d=1 t=488
chuo 	戳	c=1 d=1 t=418
ci 	次	c=0 d=0.1 t=753
ci dian 	詞典	c=1 d=1 t=898
ci hui 	詞彙	c=1 d=0.472367 t=898
ci mo kuai 	次模塊	c=1 d=1 t=754
ci zhi 	辭職	c=1 d=0.860708 t=898
da 	大	c=0 d=0.067032 t=898
da dou xiang sheng 	大逗相聲	c=2 d=1.35074 t=898
da huang feng 	大黃蜂	c=1 d=0.396531 t=898
da jie 	大街	c=1 d=0.822835 t=898
da ju yuan 	大劇院	c=0 d=0.0985112 t=898
da ke neng 	大可能	c=0 d=0.1 t=565
da sha 	大廈	c=1 d=0.798516 t=898
da xiao 	大小	c=1 d=1 t=787
da xue 	大學	c=1 d=0.546575 t=898
dan geng 	但更	c=0 d=0.1 t=565
dan geng da ke neng 	但更大可能	c=1 d=1 t=566
dang an 	檔案	c=5 d=1.49847 t=898
dang an guan 	檔案館	c=0 d=0.0771052 t=898
dang an ju 	檔案局	c=2 d=0.880767 t=898
dang de 	黨的	c=1 d=1 t=450
dang shi 	當時	c=1 d=1 t=449
dao 	到	c=2 d=0.941765 t=898
dao bi 	刀筆	c=2 d=1.98511 t=505
dao bi li 	刀筆吏	c=2 d=1.99005 t=496
dao chu 	導出	c=2 d=1.65042 t=898
dao jia 	到家	c=1 d=0.814647 t=898
dao ri ben 	到日本	c=1 d=0.465334 t=898
de 	的	c=10 d=3.25234 t=898
de sheng men 	德勝門	c=0 d=0.071177 t=898
de sheng men wai da jie 	德勝門外大街	c=1 d=0.715338 t=898
dei 	得	c=1 d=0.744532 t=898
deng 	等	c=2 d=0.826959 t=898
deng lu 	登錄	c=1 d=0.346456 t=898
deng wo 	等我	c=1 d=1 t=526
di ceng 	底層	c=1 d=0.97531 t=898
di er zhang 	第二章	c=1 d=1 t=550
dian dui dian 	點對點	c=1 d=1 t=672
